NIC code,Division Description,Group Description,Reg.No,Name of the factory,H.P.,Men,Women,Total,Max. Empt.,Ave. Empt.
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97043,Sai Agritech,75,10,15,25,50,25
10619,Manufacture of food products,Manufacture of grain mill products,97110,Satya Sai Transport,581,92,20,112,150,112
22207,Manufacture of rubber and plastics products,Manufacture of plastics products,97111,Fibermite Composites Ltd.,65,11,0,11,20,11
49300,Land transport and transport via pipelines,Transport via pipeline,97251,"Reliance Gas Transportation Infrastructure Ltd,     compressor station 4",130243,51,0,51,100,51
21005,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97331,Godrej Agrovet Ltd.,445,30,22,52,100,52
8106,Other mining and quarrying,Quarrying of stone,97460,Sri Venkateshwara Stone Crushers,126,8,0,8,9,8
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97568,Pankaj Polytech Pvt. Ltd.,641.5,75,10,85,100,85
10712,Manufacture of food products,Manufacture of other food products,97714,Sri Satya Sai Industries,180,110,0,110,150,110
18121,Printing and reproduction of recorded media,Printing and service activities related to printing,97745,Bhaskar Paper Products,95,35,0,35,50,35
10612,Manufacture of food products,Manufacture of grain mill products,62379,Sri Sai Balaji Binny Rice Mill,74,7,0,7,9,7
10612,Manufacture of food products,Manufacture of grain mill products,62944,Sri Lakshmi Narsimha B R Mill,75,7,0,7,9,7
23932,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,62582,Khandelwal Ceramics Pvt.Ltd.,124,25,5,30,50,30
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,35482,Strobel Industries ,65.3,10,0,10,20,12
17012,Manufacture of paper and paper products,Manufacture of paper and paper products,63350,Amoda Publications Pvt. Ltd,74,30,10,40,50,40
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97275,Swastik Shrink  Pack,60,6,12,18,20,18
22209,Manufacture of rubber and plastics products,Manufacture of plastics products,97285,Bartronics India Ltd.,755,65,10,75,100,75
10712,Manufacture of food products,Manufacture of other food products,97571,Real Agro Industries Pvt. Ltd.,1091.5,390,0,390,500,390
17013,Manufacture of paper and paper products,Manufacture of paper and paper products,97024,Limra Paper Mills Pvt. Ltd.,967,34,5,39,50,39
43301,Specialized construction activities,Building completion and finishing,97682,Monarch Ergonomics India P Ltd,615,78,12,90,100,90
11043,Manufacture of beverages,Manufacture of beverages,97765,Vivala Beverages Pvt. Ltd.,175,12,0,12,20,12
52109,Warehousing and support activities for transportation,Warehousing and storage,97800,Dendi Agro Farms Pvt.Ltd. ,227,15,0,15,20,15
52109,Warehousing and support activities for transportation,Warehousing and storage,97852,Cold Space Agrotek,430,12,0,12,20,12
8106,Other mining and quarrying,Quarrying of stone,97470,Mahalaxmi Metal Industries,150,8,0,8,9,8
